Греческое слово;Перевод на русский;Пример использования на греческом - на русском
ο άνθρωπος;человек;Ο άνθρωπος χρειάζεται επικοινωνία και στήριξη. - Человек нуждается в общении и поддержке.
η γυναίκα;женщина;Η γυναίκα διαβάζει ένα βιβλίο στο πάρκο. - Женщина читает книгу в парке.
το παιδί;ребёнок;Το παιδί πίνει νερό μετά το παιχνίδι. - Ребёнок пьёт воду после игры.
ο άντρας;мужчина;Ο άντρας στη γωνία διαβάζει ένα βιβλίο. - Мужчина на углу читает книгу.
η μητέρα;мама;Η μητέρα μου εργάζεται στο νοσοκομείο. - Моя мама работает в больнице.
ο πατέρας;отец;Ο πατέρας μου έρχεται από τη δουλειά στις έξι. - Мой отец приходит с работы в шесть.
ο φίλος;друг;Ο φίλος μου έρχεται απόψε στο σπίτι. - Мой друг придёт сегодня вечером домой.
η φίλη;подруга;Η φίλη μου μένει κοντά στο πανεπιστήμιο. - Моя подруга живёт рядом с университетом.
ο γιος;сын;Ο γιος μου πηγαίνει στο σχολείο κάθε μέρα. - Мой сын ходит в школу каждый день.
η κόρη;дочь;Η κόρη μου πηγαίνει στο πανεπιστήμιο φέτος. - Моя дочь в этом году поступает в университет.
ο αδελφός;брат;Ο αδελφός μου μένει κοντά. - Мой брат живет рядом.
η αδελφή;сестра;Η αδελφή μου μένει στη Θεσσαλονίκη. - Моя сестра живёт в Салониках.
η οικογένεια;семья;Η οικογένεια συναντήθηκε για το κυριακάτικο τραπέζι. - Семья собралась на воскресный обед.
το σπίτι;дом;Το σπίτι είναι κοντά στο πάρκο. - Дом находится рядом с парком.
το διαμέρισμα;квартира;Το διαμέρισμα στον τρίτο όροφο έχει μεγάλο μπαλκόνι. - Квартира на третьем этаже имеет большой балкон.
το δωμάτιο;комната;Το δωμάτιο είναι καθαρό και φωτεινό. - Комната чистая и светлая.
η κουζίνα;кухня;Η κουζίνα είναι μικρή αλλά λειτουργική. - Кухня маленькая, но функциональная.
το μπάνιο;ванная;Το μπάνιο είναι μικρό αλλά καθαρό. - Ванная небольшая, но чистая.
το κρεβάτι;кровать;Το κρεβάτι είναι άνετο και καθαρό. - Кровать удобная и чистая.
το τραπέζι;стол;Το τραπέζι είναι γεμάτο βιβλία. - На столе много книг.
η καρέκλα;стул;Η καρέκλα στο γραφείο είναι άνετη και ξεκούραστη. - Стул в офисе удобный и комфортный.
η πόρτα;дверь;Κλείσε την πόρτα, παρακαλώ. - Пожалуйста, закрой дверь.
το παράθυρο;окно;Άνοιξε το παράθυρο, παρακαλώ. - Открой окно, пожалуйста.
ο δρόμος;дорога;Ο δρόμος προς το σχολείο είναι στενός αλλά ασφαλής. - Дорога к школе узкая, но безопасная.
το αυτοκίνητο;машина;Το αυτοκίνητο είναι παλιό, αλλά ακόμα λειτουργεί καλά. - Машина старая, но всё ещё работает хорошо.
το λεωφορείο;автобус;Το λεωφορείο έρχεται σε πέντε λεπτά. - Автобус придёт через пять минут.
το τρένο;поезд;Το τρένο φτάνει στην αποβάθρα σε πέντε λεπτά. - Поезд прибывает на платформу через пять минут.
το ποδήλατο;велосипед;Το ποδήλατο μου είναι καινούργιο και το χρησιμοποιώ κάθε μέρα. - Мой велосипед новый, и я пользуюсь им каждый день.
το αεροπλάνο;самолёт;Το αεροπλάνο προσγειώθηκε στην ώρα του. - Самолёт приземлился вовремя.
το αεροδρόμιο;аэропорт;Το αεροδρόμιο είναι κλειστό λόγω δυνατού ανέμου. - Аэропорт закрыт из-за сильного ветра.
το λιμάνι;порт;Το λιμάνι είναι γεμάτο πλοία σήμερα το πρωί. - В порту сегодня утром много кораблей.
το σχολείο;школа;Το σχολείο ανοίγει κάθε πρωί στις οκτώ. - Школа открывается каждое утро в восемь часов.
το πανεπιστήμιο;университет;Το πανεπιστήμιο προσφέρει νέα προγράμματα σπουδών από τον Σεπτέμβριο. - Университет предлагает новые учебные программы с сентября.
το γραφείο;офис;Το γραφείο μου είναι στον τρίτο όροφο. - Мой офис находится на третьем этаже.
το κατάστημα;магазин;Το κατάστημα κλείνει στις εννέα το βράδυ. - Магазин закрывается в девять вечера.
η αγορά;рынок;Πηγαίνω στην αγορά κάθε Σάββατο για φρέσκα λαχανικά. - Я хожу на рынок каждую субботу за свежими овощами.
το εστιατόριο;ресторан;Το εστιατόριο στην πλατεία έχει υπέροχο φαγητό και φιλική εξυπηρέτηση. - В ресторане на площади отличная еда и приветливое обслуживание.
το καφέ;кафе;Το καφέ στη γωνία είναι πάντα γεμάτο. - Кафе на углу всегда переполнено.
το νοσοκομείο;больница;Το νοσοκομείο βρίσκεται κοντά στο κέντρο της πόλης. - Больница находится рядом с центром города.
το φαρμακείο;аптека;Πρέπει να πάω στο φαρμακείο για χάπια και αντισηπτικό. - Мне нужно пойти в аптеку за таблетками и антисептиком.
το πάρκο;парк;Το πάρκο είναι κοντά στο σπίτι μου. - Парк находится рядом с моим домом.
η παραλία;пляж;Πηγαίνουμε στην παραλία κάθε Κυριακή το καλοκαίρι. - Мы ходим на пляж каждое воскресенье летом.
το βουνό;гора;Το βουνό ήταν καλυμμένο με χιόνι. - Гора была покрыта снегом.
η θάλασσα;море;Η θάλασσα σήμερα είναι ήρεμη και καθαρή. - Море сегодня спокойное и чистое.
το ποτάμι;река;Το ποτάμι είναι καθαρό μετά τη βροχή. - Река чистая после дождя.
η λίμνη;озеро;Η λίμνη είναι ήρεμη το πρωί. - Озеро спокойно утром.
το δέντρο;дерево;Το δέντρο στον κήπο μας είναι πολύ ψηλό και σκιάζει την αυλή. - Дерево в нашем саду очень высокое и затеняет двор.
το λουλούδι;цветок;Το λουλούδι στο παράθυρο μυρίζει υπέροχα. - Цветок на окне прекрасно пахнет.
το φρούτο;фрукт;Το φρούτο είναι ώριμο και γλυκό. - Фрукт спелый и сладкий.
το μήλο;яблоко;Το μήλο είναι γλυκό και ζουμερό. - Яблоко сладкое и сочное.
το πορτοκάλι;апельсин;Το πορτοκάλι είναι γλυκό και ζουμερό. - Апельсин сладкий и сочный.
το ψωμί;хлеб;Το ψωμί είναι φρέσκο σήμερα. - Хлеб сегодня свежий.
το νερό;вода;Το νερό της βρύσης είναι κρύο σήμερα. - Вода из крана сегодня холодная.
ο καφές;кофе;Ο καφές είναι πολύ δυνατός σήμερα. - Кофе сегодня очень крепкий.
το τσάι;чай;Το τσάι είναι ζεστό και αρωματικό. - Чай горячий и ароматный.
το γάλα;молоко;Το γάλα είναι στο ψυγείο. - Молоко в холодильнике.
το τυρί;сыр;Βάλε το τυρί στο ψωμί πριν το ψήσεις. - Положи сыр на хлеб, прежде чем ты его запечёшь.
το κρέας;мясо;Το κρέας πρέπει να μαγειρευτεί καλά πριν το σερβίρεις. - Мясо нужно хорошо приготовить, прежде чем подавать его.
το κοτόπουλο;курица;Το κοτόπουλο ψήνεται στο φούρνο κάθε Κυριακή. - Курица запекается в духовке каждое воскресенье.
το ψάρι;рыба;Το ψάρι είναι φρέσκο και νόστιμο. - Рыба свежая и вкусная.
το αυγό;яйцо;Το αυγό έσπασε όταν έπεσε στο τηγάνι. - Яйцо разбилось, когда упало на сковороду.
η σαλάτα;салат;Η σαλάτα είναι φρέσκια και νόστιμη. - Салат свежий и вкусный.
η σούπα;суп;Η σούπα είναι ζεστή, μην την πιεις γρήγορα. - Суп горячий, не пей его быстро.
το πρωινό;завтрак;Τρώω το πρωινό μου κάθε μέρα στις επτά. - Я завтракаю каждый день в семь.
το μεσημεριανό;обед;"Τι θα φάμε για το μεσημεριανό σήμερα; - Что мы будем есть на обед сегодня?"
το δείπνο;ужин;Το δείπνο είναι έτοιμο στην κουζίνα. - Ужин готов на кухне.
ο χρόνος;время;Ο χρόνος περνάει γρήγορα όταν διασκεδάζεις. - Время летит, когда развлекаешься.
η μέρα;день;Η μέρα ήταν ζεστή και φωτεινή. - День был тёплым и ясным.
η νύχτα;ночь;Η νύχτα ήταν ήσυχη και τα αστέρια έλαμπαν. - Ночь была тихой, и звёзды сияли.
το πρωί;утром;Το πρωί πίνω έναν καφέ πριν δουλέψω. - Утром я пью кофе перед работой.
το απόγευμα;днём;Το απόγευμα θα πάμε στο πάρκο. - Днём мы пойдём в парк.
η εβδομάδα;неделя;Η εβδομάδα έχει επτά μέρες. - Неделя состоит из семи дней.
ο μήνας;месяц;Ο μήνας αυτός ήταν γεμάτος δουλειά και ταξίδια. - Этот месяц был полон работы и поездок.
το έτος;год;Το έτος αυτό ήταν γεμάτο προκλήσεις. - Этот год был полон вызовов.
η δουλειά;работа;Η δουλειά μου είναι να διδάσκω αγγλικά σε ενήλικες. - Моя работа — преподавать английский взрослым.
ο εργαζόμενος;работник;Ο εργαζόμενος ζήτησε αύξηση μετά από τρία χρόνια δουλειάς. - Работник попросил повышения после трёх лет работы.
ο εργοδότης;работодатель;Ο εργοδότης μου αύξησε τον μισθό τον Φεβρουάριο. - Мой работодатель повысил зарплату в феврале.
ο διευθυντής;директор;Ο διευθυντής συναντήθηκε με τους υπαλλήλους σήμερα το πρωί. - Директор встретился с сотрудниками сегодня утром.
ο δάσκαλος;учитель;Ο δάσκαλος εξήγησε το μάθημα με υπομονή. - Учитель объяснил урок терпеливо.
η δασκάλα;учительница;Η δασκάλα μας είναι πολύ υπομονετική. - Наша учительница очень терпеливая.
ο μαθητής;ученик;Ο μαθητής διάβασε το μάθημα πριν την εξέταση. - Ученик прочитал урок перед экзаменом.
η μαθήτρια;ученица;Η μαθήτρια διάβαζε για τις εξετάσεις στο δωμάτιό της. - Ученица готовилась к экзаменам в своей комнате.
ο γιατρός;врач;Ο γιατρός μου έδωσε το νέο φάρμακο. - Врач дал мне новое лекарство.
η νοσοκόμα;медсестра;Η νοσοκόμα έφερε το φάρμακο στον ασθενή. - Медсестра принесла лекарство пациенту.
ο οδηγός;водитель;Ο οδηγός στάθμευσε προσεκτικά το αυτοκίνητο. - Водитель аккуратно припарковал автомобиль.
ο αστυνομικός;полицейский;Ο αστυνομικός βοήθησε τη γυναίκα να βρει το χαμένο πορτοφόλι της. - Полицейский помог женщине найти потерянный кошелек.
ο πωλητής;продавец;Ο πωλητής μας βοήθησε να βρούμε το σωστό μέγεθος. - Продавец помог нам найти правильный размер.
ο πελάτης;клиент;Ο πελάτης ζήτησε απόδειξη μετά την πληρωμή. - Клиент попросил чек после оплаты.
το χρήμα;деньги;Το χρήμα δεν φέρνει πάντα την ευτυχία. - Деньги не всегда приносят счастье.
το ευρώ;евро;Το ευρώ παρέμεινε ισχυρό έναντι του δολαρίου σήμερα. - Евро сегодня оставался сильным по отношению к доллару.
η κάρτα;карта;Η κάρτα δεν λειτουργεί στο ΑΤΜ. - Карта не работает в банкомате.
η απόδειξη;чек;Μην ξεχάσεις να πάρεις την απόδειξη από το κατάστημα. - Не забудь взять чек в магазине.
ο λογαριασμός;счёт;"Μπορείτε να μου δώσετε τον λογαριασμό, παρακαλώ; - Можете принести мне счёт, пожалуйста?"
η τράπεζα;банк;Η τράπεζα είναι κλειστή το Σάββατο. - Банк закрыт в субботу.
η πόλη;город;Η πόλη είναι όμορφη το φθινόπωρο. - Город красив осенью.
το χωριό;деревня;Το χωριό μας έχει πολλά παλιά σπίτια. - В нашей деревне много старых домов.
η γειτονιά;район;Η γειτονιά μας έχει πολλά καφέ και ένα μεγάλο πάρκο. - В нашем районе есть много кафе и большой парк.
η οδός;улица;Η οδός ήταν κλειστή λόγω έργων. - Улица была закрыта из-за ремонтных работ.
η πλατεία;площадь;Η πλατεία μπροστά στο δημαρχείο είναι γεμάτη κόσμο σήμερα. - Площадь перед ратушей сегодня полна людей.
το μαγαζί;магазин;Το μαγαζί ανοίγει στις εννέα το πρωί. - Магазин открывается в девять утра.
το σούπερ μάρκετ;супермаркет;Πηγαίνω στο σούπερ μάρκετ για να αγοράσω γάλα και ψωμί. - Я иду в супермаркет, чтобы купить молоко и хлеб.
ο υπολογιστής;компьютер;Ο υπολογιστής μου χρειάζεται ενημέρωση λογισμικού. - Моему компьютеру нужно обновление программного обеспечения.
το κινητό;мобильный телефон;Ξέχασα το κινητό μου στο σπίτι και γύρισα να το πάρω. - Я забыл свой мобильный телефон дома и вернулся, чтобы забрать его.
το τηλέφωνο;телефон;Το τηλέφωνο μου χτυπάει συνεχώς σήμερα. - Сегодня мой телефон постоянно звонит.
το ίντερνετ;интернет;Χρησιμοποιώ το ίντερνετ καθημερινά για τη δουλειά. - Я использую интернет ежедневно для работы.
η τηλεόραση;телевизор;Κάθε βράδυ βλέπουμε ειδήσεις στην τηλεόραση. - Каждый вечер мы смотрим новости по телевизору.
το ραδιόφωνο;радио;Βάζω το ραδιόφωνο κάθε πρωί για να ακούω ειδήσεις. - Я включаю радио каждое утро, чтобы слушать новости.
η μουσική;музыка;Η μουσική στο πάρκο ήταν πολύ δυνατή σήμερα. - Музыка в парке сегодня была очень громкой.
το τραγούδι;песня;Το τραγούδι αυτό μου θυμίζει το καλοκαίρι. - Эта песня напоминает мне о лете.
ο χορός;танец;Ο χορός στη γιορτή κράτησε μέχρι τα μεσάνυχτα. - Танец на празднике продолжался до полуночи.
το βιβλίο;книга;Ανοίγω το βιβλίο στη σελίδα δέκα. - Я открываю книгу на десятой странице.
η εφημερίδα;газета;Διαβάζω την εφημερίδα κάθε πρωί. - Я читаю газету каждое утро.
το περιοδικό;журнал;Διάβασα το περιοδικό στο τρένο σήμερα. - Я читал журнал в поезде сегодня.
το γράμμα;письмо;Έλαβα χτες το γράμμα σου και χάρηκα πολύ. - Вчера пришло твоё письмо, и это меня очень порадовало.
η φωτογραφία;фотография;Η φωτογραφία δείχνει την παλιά πλατεία στο ηλιοβασίλεμα. - Фотография показывает старую площадь на закате.
η τέχνη;искусство;Η τέχνη μας βοηθά να καταλαβαίνουμε καλύτερα τον κόσμο. - Искусство помогает нам лучше понимать мир.
ο κινηματογράφος;кинотеатр;Ο κινηματογράφος έχει άνετες καρέκλες και καλή εικόνα. - В кинотеатре есть удобные кресла и хорошее изображение.
η παράσταση;представление;Η παράσταση ξεκινά στις οκτώ το βράδυ στο θέατρο. - Представление начинается в восемь вечера в театре.
το εισιτήριο;билет;"Πού μπορώ να αγοράσω το εισιτήριο για το τρένο; - Где я могу купить билет на поезд?"
η θέρμανση;отопление;Το πρωί άναψα τη θέρμανση γιατί έκανε πολύ κρύο. - Утром я включил отопление, потому что было очень холодно.
ο ήλιος;солнце;Ο ήλιος λάμπει στον καθαρό ουρανό. - Солнце светит в чистом небе.
το φεγγάρι;луна;Το φεγγάρι φωτίζει τη λίμνη τη νύχτα. - Луна освещает озеро ночью.
το αστέρι;звезда;Το αστέρι φωτίζει τον ουρανό τη νύχτα. - Звезда освещает небо ночью.
ο ουρανός;небо;Ο ουρανός είναι γαλάζιος σήμερα το πρωί. - Сегодня утром небо голубое.
ο αέρας;воздух;Ο αέρας είναι καθαρός σήμερα. - Воздух сегодня чистый.
η βροχή;дождь;Η βροχή βοήθησε τα φυτά να ανθίσουν. - Дождь помог растениям расцвести.
το χιόνι;снег;Το χιόνι καλύπτει τα βουνά κάθε χειμώνα. - Снег покрывает горы каждую зиму.
ο άνεμος;ветер;Ο άνεμος σήμερα φυσάει δυνατά στην παραλία. - Сегодня на пляже дует сильный ветер.
η θερμοκρασία;температура;Η θερμοκρασία σήμερα έχει ανέβει στους 28 βαθμούς. - Сегодня температура поднялась до 28 градусов.
η ζέστη;жара;Η ζέστη σήμερα είναι αφόρητη. - Жара сегодня невыносимая.
το κρύο;холод;Το κρύο σήμερα είναι ανυπόφορο, πρέπει να φορέσεις ζεστό παλτό. - Сегодня холод невыносим, нужно надеть тёплое пальто.
η άνοιξη;весна;Η άνοιξη φέρνει ζεστότερες μέρες και πολλά λουλούδια. - Весна приносит более тёплые дни и много цветов.
το καλοκαίρι;лето;Το καλοκαίρι θα ταξιδέψω στην Κρήτη. - Летом я поеду на Крит.
το φθινόπωρο;осень;Το φθινόπωρο τα φύλλα στα δέντρα αλλάζουν χρώμα. - Осенью листья на деревьях меняют цвет.
ο χειμώνας;зима;Ο χειμώνας φέτος είχε πολλές βροχές. - Этой зимой было много дождей.
η υγεία;здоровье;Η υγεία είναι πιο σημαντική από τα χρήματα. - Здоровье важнее денег.
η ασθένεια;болезнь;Η ασθένεια τον κράτησε στο κρεβάτι για μια εβδομάδα. - Болезнь держала его в постели неделю.
ο πόνος;боль;Ο πόνος στο στήθος με ανησύχησε πολύ χθες το βράδυ. - Вчера вечером боль в груди очень меня обеспокоила.
το φάρμακο;лекарство;Πήρα το φάρμακο σύμφωνα με τις οδηγίες του γιατρού. - Я принял лекарство согласно указаниям врача.
η βοήθεια;помощь;Χρειάζομαι τη βοήθειά σου με τα μαθήματα. - Мне нужна твоя помощь с уроками.
η αγάπη;любовь;Η αγάπη μας κάνει καλύτερους ανθρώπους. - Любовь делает нас лучшими людьми.
η χαρά;радость;Η χαρά των παιδιών ήταν εμφανής στο πρόσωπό τους. - Радость детей была видна на их лицах.
η λύπη;грусть;Η λύπη μειώθηκε μετά τη συζήτηση με φίλους. - Грусть уменьшилась после разговора с друзьями.
ο φόβος;страх;Ο φόβος μου για το σκοτάδι μειώθηκε με τη βοήθεια φίλων. - Мой страх перед темнотой уменьшился с помощью друзей.
ο θυμός;гнев;Προσπάθησε να ελέγξει τον θυμό του πριν μιλήσει. - Он попытался сдержать свой гнев, прежде чем заговорить.
η ελπίδα;надежда;Η ελπίδα δίνει δύναμη στις δύσκολες στιγμές. - Надежда придаёт силы в трудные моменты.
η ιδέα;идея;Η ιδέα σου είναι ενδιαφέρουσα, ας την συζητήσουμε αύριο. - Твоя идея интересна, давай обсудим её завтра.
η γνώμη;мнение;Η γνώμη σου μετράει για μένα. - Твоё мнение для меня важно.
η απόφαση;решение;Η απόφαση ήταν δύσκολη αλλά σωστή. - Решение было трудным, но правильным.
η ερώτηση;вопрос;Η ερώτηση ήταν σαφής και όλοι απάντησαν γρήγορα. - Вопрос был ясным, и все ответили быстро.
η απάντηση;ответ;Η απάντηση στο μήνυμά σου ήταν σύντομη. - Ответ на твоё сообщение был кратким.
η πληροφορία;информация;Η πληροφορία είναι απαραίτητη για τη δουλειά. - Информация необходима для работы.
το πρόβλημα;проблема;Το πρόβλημα λύθηκε γρήγορα με τη βοήθεια της ομάδας. - Проблема была быстро решена с помощью команды.
η λύση;решение;Η λύση στο πρόβλημα ήταν πιο απλή απ' ό,τι περιμέναμε. - Решение проблемы оказалось проще, чем мы ожидали.
το σχέδιο;план;Το σχέδιο για το νέο πάρκο είναι έτοιμο. - План нового парка готов.
ο στόχος;цель;Ο στόχος μας είναι να ολοκληρώσουμε το έργο εντός τριών μηνών. - Наша цель — завершить проект в течение трёх месяцев.
η αρχή;начало;Η αρχή της συνάντησης καθυστέρησε δέκα λεπτά. - Начало встречи задержалось на десять минут.
το τέλος;конец;Το τέλος της ταινίας με συγκίνησε πολύ. - Конец фильма меня очень тронул.
η αλλαγή;изменение;Η αλλαγή του προγράμματος θα ανακοινωθεί αύριο. - Изменение расписания будет объявлено завтра.
η επιτυχία;успех;Η επιτυχία της εξαρτάται από τη σκληρή δουλειά. - Её успех зависит от упорной работы.
η αποτυχία;неудача;Η αποτυχία δεν σημαίνει το τέλος, αλλά μια ευκαιρία να μάθεις. - Неудача не означает конец, а возможность научиться.
η συνάντηση;встреча;Η συνάντηση ακυρώθηκε λόγω κακοκαιρίας. - Встреча была отменена из-за непогоды.
το ταξίδι;путешествие;Το ταξίδι στην Κρήτη ήταν υπέροχο και γεμάτο αναμνήσεις. - Путешествие на Крит было прекрасным и полным воспоминаний.
η βαλίτσα;чемодан;Η βαλίτσα μου είναι πολύ βαριά για να την σηκώσω. - Мой чемодан слишком тяжелый, чтобы его поднять.
το ξενοδοχείο;отель;Μένουμε σε αυτό το ξενοδοχείο για τρεις νύχτες. - Мы останавливаемся в этом отеле на три ночи.
ο χάρτης;карта;Ο χάρτης δείχνει την καλύτερη διαδρομή στην πόλη. - Карта показывает лучший маршрут по городу.
ο τουρίστας;турист;Ο τουρίστας ρώτησε τον δρόμο για το μουσείο. - Турист спросил дорогу до музея.
η παραγγελία;заказ;Η παραγγελία έφτασε γρήγορα και ήταν σωστή. - Заказ пришёл быстро и был правильным.
το μενού;меню;Το μενού έχει πολλές επιλογές για χορτοφάγους. - В меню есть много вариантов для вегетарианцев.
